specimen,y.reader1,y.age1,y.date1,y.grade1,y.reader2,y.age2,y.date2,y.grade2,y.reader3,y.age3,y.date3,y.grade3,y.cv,x.reader1,x.age1,x.grade1,x.reader2,x.age2,x.grade2,x.reader3,x.age3,x.grade3
78,Z,214,10/13/2024,3.5,Z,197,10/13/2024,,Z,175,2/4/2025,3,10.01024531,,,,,,,,,
79,Z,166,10/13/2024,3,Z,159,1/20/2025,4,Z,153,2/4/2025,3,4.0835191,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,
81,Z,173,10/13/2024,3,,,,,,,,,,,,,,,,,,
82,Z,156,,4,Z,178,1/29/2025,,,,,,9.315179153,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,
85,Z,210,12/2/2024,3,Z,183,1/29/2025,2.5,,,,,9.715971039,Kath,206,,Kath,175,4,,,
86,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,
88,Z,195,11/13/2024,4,,,,,,,,,,,,,,,,,,
89,Z,224,11/12/2024,4,,,,,,,,,,,,,,,,,,
90,Z,214,11/12/2024,4,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,
93,Z,192,11/5/2024,4,Z,184,12/2/2024,3.5,,,,,3.008965026,Esther,246,4,Esther,225,3,,,
94,Z,208,11/3/2024,4,Z,205,12/2/2024,3.5,,,,,1.027273774,,,,,,,,,
95,Z,203,11/3/2024,3.5,Z,204,12/2/2024,3.5,,,,,0.34747262,,,,,,,,,
96,Z,208,11/3/2024,3,Z,185,1/29/2025,2.5,,,,,8.276567922,Esther,172,3,Esther,192,2,Esther,194,2
97,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
101,Z,184,11/3/2024,4,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,
103,Z,221,11/3/2024,4,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,
107,Z,199,12/2/2024,4,,,,,,,,,,,,,,,,,,
108,Z,173,12/2/2024,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,
113,Z,190,12/2/2024,4,,,,,,,,,,Esther,191,4,Esther,228,4,,,
114,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,
121,Z,199,9/3/2024,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,
