specimen,length,structure_weight,haul,date_collected,latitude,longitude,region,read_age,test_age,final_age,run_number,scan_name,comments,unscannable,percent_affected,other_problem,crystallized,broken,side,timestamp,file_name,session_title
423894,34,0.0003,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423894_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423894_OA1.0,NIR_JJ202101202
423895,60,0.0023,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423895_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423895_OA1.0,NIR_JJ202101202
423896,56,0.0018,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423896_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423896_OA1.0,NIR_JJ202101202
423897,49,0.0012,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423897_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423897_OA1.0,NIR_JJ202101202
423900,32,0.0002,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423900_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423900_OA1.0,NIR_JJ202101202
423901,45,0.0008,5,6/24/21,60.105,-147.9969,Kenai,,,,1,JJ202101202_423901_OA1,dried tissue,0,10,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423901_OA1.0,NIR_JJ202101202
423902,37,0.0005,5,6/24/21,60.105,-147.9969,Kenai,,,,1,JJ202101202_423902_OA1,dried tissue,0,40,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423902_OA1.0,NIR_JJ202101202
423903,61,0.0024,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423903_OA1,dried tissue,0,20,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423903_OA1.0,NIR_JJ202101202
423904,67,0.0027,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423904_OA1,dried tissue,0,30,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423904_OA1.0,NIR_JJ202101202
423905,69,0.0032,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423905_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423905_OA1.0,NIR_JJ202101202
423906,68,0.003,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423906_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423906_OA1.0,NIR_JJ202101202
423907,59,0.0019,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423907_OA1,dried tissue,0,10,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423907_OA1.0,NIR_JJ202101202
423909,49,0.0013,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423909_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423909_OA1.0,NIR_JJ202101202
423910,57,0.0019,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423910_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423910_OA1.0,NIR_JJ202101202
423911,55,0.002,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423911_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423911_OA1.0,NIR_JJ202101202
423914,50,0.0012,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423914_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423914_OA1.0,NIR_JJ202101202
423916,38,0.0005,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423916_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423916_OA1.0,NIR_JJ202101202
423918,36,0.0005,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423918_OA1,dried tissue,0,5,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423918_OA1.0,NIR_JJ202101202
423919,32,0.0003,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423919_OA1,dried tissue,0,60,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423919_OA1.0,NIR_JJ202101202
423920,39,0.0005,6,6/24/21,60.11182,-148.0008,Kenai,,,,1,JJ202101202_423920_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423920_OA1.0,NIR_JJ202101202
423928,59,0.0021,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423928_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423928_OA1.0,NIR_JJ202101202
423929,58,0.0019,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423929_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423929_OA1.0,NIR_JJ202101202
423930,39,0.0006,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423930_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423930_OA1.0,NIR_JJ202101202
423931,40,0.0008,7,6/24/21,60.11273,-148.0028,Kenai,,,,1,JJ202101202_423931_OA1,dried tissue,0,5,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423931_OA1.0,NIR_JJ202101202
423935,40,0.0006,8,6/24/21,60.11277,-148.0026,Kenai,,,,1,JJ202101202_423935_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423935_OA1.0,NIR_JJ202101202
423950,56,0.0014,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423950_OA1,left oto broken,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423950_OA1.0,NIR_JJ202101202
423952,63,0.002,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423952_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423952_OA1.0,NIR_JJ202101202
423953,52,0.0011,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423953_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423953_OA1.0,NIR_JJ202101202
423954,60,0.0016,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423954_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423954_OA1.0,NIR_JJ202101202
423955,55,0.0012,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423955_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423955_OA1.0,NIR_JJ202101202
423956,45,0.0008,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423956_OA1,dried tissue,0,15,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423956_OA1.0,NIR_JJ202101202
423957,54,0.0013,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423957_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423957_OA1.0,NIR_JJ202101202
423958,46,0.0007,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423958_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423958_OA1.0,NIR_JJ202101202
423959,56,0.0014,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423959_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423959_OA1.0,NIR_JJ202101202
423961,50,0.0013,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423961_OA1,,0,0,0,0,0,R,25-Oct-23,PACIFIC_COD_JJ202101202_423961_OA1.0,NIR_JJ202101202
423963,61,0.0021,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423963_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423963_OA1.0,NIR_JJ202101202
423964,45,0.001,10,6/26/21,59.37974,-150.6976,Kenai,,,,1,JJ202101202_423964_OA1,,0,0,0,0,0,L,25-Oct-23,PACIFIC_COD_JJ202101202_423964_OA1.0,NIR_JJ202101202
424030,62,0.0023,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424030_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424030_OA1.0,NIR_JJ202101202
424032,57,0.0018,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424032_OA1,dried tissue,0,5,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424032_OA1.0,NIR_JJ202101202
424033,68,0.0025,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424033_OA1,,0,0,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424033_OA1.0,NIR_JJ202101202
424034,67,0.0026,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424034_OA1,dried tissue,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424034_OA1.0,NIR_JJ202101202
424035,64,0.0022,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424035_OA1,dried tissue. L oto broken,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424035_OA1.0,NIR_JJ202101202
424037,55,0.0014,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424037_OA1,dried tissue,0,10,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424037_OA1.0,NIR_JJ202101202
424038,53,0.0015,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424038_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424038_OA1.0,NIR_JJ202101202
424040,55,0.0011,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424040_OA1,dried tissue,0,10,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424040_OA1.0,NIR_JJ202101202
424042,60,0.0018,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424042_OA1,dried tissue,0,10,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424042_OA1.0,NIR_JJ202101202
424044,52,0.0012,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424044_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424044_OA1.0,NIR_JJ202101202
424068,44,0.0007,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424068_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424068_OA1.0,NIR_JJ202101202
424070,40,0.0005,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424070_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424070_OA1.0,NIR_JJ202101202
424074,42,0.0007,9,6/26/21,59.37565,-150.6988,Kenai,,,,1,JJ202101202_424074_OA1,R I think? Dried tissue,0,20,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424074_OA1.0,NIR_JJ202101202
424121,67,0.0017,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424121_OA1,dried tissue,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424121_OA1.0,NIR_JJ202101202
424122,60,0.0015,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424122_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424122_OA1.0,NIR_JJ202101202
424123,57,0.0013,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424123_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424123_OA1.0,NIR_JJ202101202
424124,59,0.0021,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424124_OA1,dried tissue,0,10,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424124_OA1.0,NIR_JJ202101202
424125,51,0.0013,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424125_OA1,dried tissue,0,5,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424125_OA1.0,NIR_JJ202101202
424126,65,0.0022,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424126_OA1,dried tissue,0,2,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424126_OA1.0,NIR_JJ202101202
424127,53,0.0011,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424127_OA1,,0,0,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424127_OA1.0,NIR_JJ202101202
424128,46,0.0008,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424128_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424128_OA1.0,NIR_JJ202101202
424129,57,0.0015,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424129_OA1,dried tissue,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424129_OA1.0,NIR_JJ202101202
424130,46,0.0008,12,6/27/21,59.27363,-151.0051,Kenai,,,,1,JJ202101202_424130_OA1,dried tissue,0,2,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424130_OA1.0,NIR_JJ202101202
424131,60,0.0014,11,6/27/21,59.25635,-151.0001,Kenai,,,,1,JJ202101202_424131_OA1,dried tissue,0,2,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424131_OA1.0,NIR_JJ202101202
424132,52,0.0013,11,6/27/21,59.25635,-151.0001,Kenai,,,,1,JJ202101202_424132_OA1,dried tissue,0,5,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424132_OA1.0,NIR_JJ202101202
424133,62,0.0015,11,6/27/21,59.25635,-151.0001,Kenai,,,,1,JJ202101202_424133_OA1,dried tissue,0,10,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424133_OA1.0,NIR_JJ202101202
424134,47,0.001,11,6/27/21,59.25635,-151.0001,Kenai,,,,1,JJ202101202_424134_OA1,dried tissue,0,15,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424134_OA1.0,NIR_JJ202101202
424135,46,0.001,11,6/27/21,59.25635,-151.0001,Kenai,,,,1,JJ202101202_424135_OA1,dried tissue,0,10,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424135_OA1.0,NIR_JJ202101202
424176,74,0.0036,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424176_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424176_OA1_rescan1.0,NIR_JJ202101202_rescan1
424176,74,0.0036,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424176_OA1,dried tissue. L oto broken,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424176_OA1.0,NIR_JJ202101202
424177,68,0.003,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424177_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424177_OA1_rescan1.0,NIR_JJ202101202_rescan1
424177,68,0.003,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424177_OA1,dried tissue. R oto broken,0,15,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424177_OA1.0,NIR_JJ202101202
424178,58,0.0019,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424178_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424178_OA1_rescan1.0,NIR_JJ202101202_rescan1
424178,58,0.0019,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424178_OA1,dried tissue,0,15,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424178_OA1.0,NIR_JJ202101202
424180,64,0.0026,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424180_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424180_OA1_rescan1.0,NIR_JJ202101202_rescan1
424180,64,0.0026,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424180_OA1,dried tissue,0,10,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424180_OA1.0,NIR_JJ202101202
424181,71,0,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424181_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424181_OA1_rescan1.0,NIR_JJ202101202_rescan1
424182,68,0.0029,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424182_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424182_OA1_rescan1.0,NIR_JJ202101202_rescan1
424182,68,0.0029,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424182_OA1,dried tissue,0,5,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424182_OA1.0,NIR_JJ202101202
424183,57,0.0018,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424183_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424183_OA1_rescan1.0,NIR_JJ202101202_rescan1
424183,57,0.0018,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424183_OA1,,0,0,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424183_OA1.0,NIR_JJ202101202
424184,51,0.0013,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424184_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424184_OA1_rescan1.0,NIR_JJ202101202_rescan1
424184,51,0.0013,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424184_OA1,dried tissue,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424184_OA1.0,NIR_JJ202101202
424185,57,0.002,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424185_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424185_OA1_rescan1.0,NIR_JJ202101202_rescan1
424185,57,0.002,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424185_OA1,dried tissue,0,10,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424185_OA1.0,NIR_JJ202101202
424186,63,0.0028,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424186_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424186_OA1_rescan1.0,NIR_JJ202101202_rescan1
424186,63,0.0028,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424186_OA1,dried tissue. R oto broken,0,5,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424186_OA1.0,NIR_JJ202101202
424187,52,0.0016,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424187_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424187_OA1_rescan1.0,NIR_JJ202101202_rescan1
424187,52,0.0016,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424187_OA1,dried tissue. L oto broken,0,5,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424187_OA1.0,NIR_JJ202101202
424188,42,0.0009,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424188_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424188_OA1_rescan1.0,NIR_JJ202101202_rescan1
424188,42,0.0009,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424188_OA1,,0,0,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424188_OA1.0,NIR_JJ202101202
424189,46,0.0014,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424189_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424189_OA1_rescan1.0,NIR_JJ202101202_rescan1
424189,46,0.0014,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424189_OA1,dried tissue,0,10,0,0,0,R,26-Oct-23,PACIFIC_COD_JJ202101202_424189_OA1.0,NIR_JJ202101202
424190,54,0.0019,13,6/29/21,58.31827,-152.4015,Nkodiak,0,0,0,2,JJ202101202_424190_OA1_rescan1,0,0,0,0,0,0,0,0,PACIFIC_COD_JJ202101202_424190_OA1_rescan1.0,NIR_JJ202101202_rescan1
424190,54,0.0019,13,6/29/21,58.31827,-152.4015,Nkodiak,,,,1,JJ202101202_424190_OA1,dried tissue,0,50,0,0,0,L,26-Oct-23,PACIFIC_COD_JJ202101202_424190_OA1.0,NIR_JJ202101202
